,Stock_Item_Key,Stock_Item,Color,Selling_Package,Buying_Package,Brand,Size_val,Lead_Time_Days,Quantity_Per_Outer,Is_Chiller_Stock,Tax_Rate,Unit_Price,Recommended_Retail_Price,Typical_Weight_Per_Unit
1,1,Void fill 400 L bag (White) 400L,NA,Each,Each,NA,400L,14,10,0,14.0,50.0,74.75,1.0
2,2,Void fill 300 L bag (White) 300L,NA,Each,Each,NA,300L,14,10,0,14.0,37.5,56.06,0.75
3,3,Void fill 200 L bag (White) 200L,NA,Each,Each,NA,200L,14,10,0,14.0,25.0,37.38,0.5
4,4,Void fill 100 L bag (White) 100L,NA,Each,Each,NA,100L,14,10,0,14.0,12.5,18.69,0.25
5,5,Air cushion machine (Blue),NA,Each,Each,NA,NA,20,1,0,20.0,1899.0,2839.01,10.0
6,6,Air cushion film 200mmx200mm 325m,NA,Each,Each,NA,325m,14,1,0,14.0,90.0,134.55,6.0
7,7,Air cushion film 200mmx100mm 325m,NA,Each,Each,NA,325m,14,1,0,14.0,87.0,130.07,5.0
8,8,Large  replacement blades 18mm,NA,Each,Each,NA,18mm,14,10,0,14.0,4.3,6.43,0.8
9,9,Small 9mm replacement blades 9mm,NA,Each,Each,NA,9mm,14,10,0,14.0,4.1,6.13,0.7
10,10,Packing knife with metal insert blade (Yellow) 18mm,NA,Each,Each,NA,18mm,14,5,0,14.0,2.4,3.59,0.5
11,11,Packing knife with metal insert blade (Yellow) 9mm,NA,Each,Each,NA,9mm,14,5,0,14.0,1.89,2.83,0.5
12,12,Permanent marker red 5mm nib (Red) 5mm,NA,Each,Each,NA,5mm,14,12,0,14.0,2.7,4.04,0.1
13,13,Permanent marker blue 5mm nib (Blue) 5mm,NA,Each,Each,NA,5mm,14,12,0,14.0,2.7,4.04,0.1
14,14,Permanent marker black 5mm nib (Black) 5mm,NA,Each,Each,NA,5mm,14,12,0,14.0,2.7,4.04,0.1
15,15,Tape dispenser (Blue),NA,Each,Each,NA,NA,20,10,0,20.0,32.0,47.84,1.0
16,16,Tape dispenser (Red),NA,Each,Each,NA,NA,20,10,0,20.0,32.0,47.84,1.0
17,17,Tape dispenser (Black),NA,Each,Each,NA,NA,20,10,0,20.0,32.0,47.84,1.0
18,18,Red and white urgent  heavy despatch tape  48mmx100m,NA,Each,Each,NA,48mmx100m,14,24,0,14.0,4.1,6.13,0.7
19,19,Red and white urgent despatch tape 48mmx75m,NA,Each,Each,NA,48mmx75m,14,24,0,14.0,3.7,5.53,0.5
20,20,Black and yellow heavy despatch tape 48mmx100m,NA,Each,Each,NA,48mmx100m,14,24,0,14.0,4.1,6.13,0.7
21,21,Black and yellow heavy despatch tape  48mmx75m,NA,Each,Each,NA,48mmx75m,14,24,0,14.0,3.7,5.53,0.5
22,22,Black and orange this way up despatch tape  48mmx100m,NA,Each,Each,NA,48mmx100m,14,24,0,14.0,4.1,6.13,0.7
23,23,Black and orange this way up despatch tape 48mmx75m,NA,Each,Each,NA,48mmx75m,14,24,0,14.0,3.7,5.53,0.5
24,24,Black and orange handle with care despatch tape  48mmx100m,NA,Each,Each,NA,48mmx100m,14,24,0,14.0,4.1,6.13,0.7
25,25,Black and orange handle with care despatch tape  48mmx75m,NA,Each,Each,NA,48mmx75m,14,24,0,14.0,3.7,5.53,0.5
26,26,Black and orange glass with care despatch tape  48mmx100m,NA,Each,Each,NA,48mmx100m,14,24,0,14.0,4.1,6.13,0.7
27,27,Black and orange glass with care despatch tape 48mmx75m,NA,Each,Each,NA,48mmx75m,14,24,0,14.0,3.7,5.53,0.5
28,28,Black and orange fragile despatch tape 48mmx100m,NA,Each,Each,NA,48mmx100m,14,36,0,14.0,4.1,6.13,0.7
29,29,Black and orange fragile despatch tape 48mmx75m,NA,Each,Each,NA,48mmx75m,14,36,0,14.0,3.7,5.53,0.5
30,30,Clear packaging tape 48mmx100m,NA,Each,Each,NA,48mmx100m,14,20,0,14.0,3.5,5.23,0.7
31,31,Clear packaging tape 48mmx75m,NA,Each,Each,NA,48mmx75m,14,26,0,14.0,2.9,4.34,0.5
32,32,3 kg Courier post bag (White) 300x190x95mm,NA,Each,Each,NA,300x190x95mm,14,25,0,14.0,0.66,0.99,0.1
33,33,Express post box 5kg (White) 350x280x130mm,NA,Each,Each,NA,350x280x130mm,14,25,0,14.0,0.95,1.42,0.2
34,34,Shipping carton (Brown) 457x457x457mm,NA,Each,Each,NA,457x457x457mm,14,25,0,14.0,2.1,3.14,0.4
35,35,Shipping carton (Brown) 356x356x279mm,NA,Each,Each,NA,356x356x279mm,14,25,0,14.0,2.04,3.05,0.3
36,36,Shipping carton (Brown) 305x305x305mm,NA,Each,Each,NA,305x305x305mm,14,25,0,14.0,3.5,5.23,0.3
37,37,Shipping carton (Brown) 480x270x320mm,NA,Each,Each,NA,480x270x320mm,14,25,0,14.0,2.74,4.1,0.4
38,38,Shipping carton (Brown) 457x279x279mm,NA,Each,Each,NA,457x279x279mm,14,25,0,14.0,1.28,1.91,0.4
39,39,Shipping carton (Brown) 356x229x229mm,NA,Each,Each,NA,356x229x229mm,14,25,0,14.0,1.14,1.7,0.4
40,40,Shipping carton (Brown) 279x254x217mm,NA,Each,Each,NA,279x254x217mm,14,25,0,14.0,1.11,1.66,0.3
41,41,Shipping carton (Brown) 229x229x229mm,NA,Each,Each,NA,229x229x229mm,14,25,0,14.0,1.05,1.57,0.3
42,42,Shipping carton (Brown) 500x310x310mm,NA,Each,Each,NA,500x310x310mm,14,25,0,14.0,2.55,3.81,0.4
43,43,Shipping carton (Brown) 413x285x187mm,NA,Each,Each,NA,413x285x187mm,14,25,0,14.0,1.05,1.57,0.3
44,44,Bubblewrap dispenser (Red) 1.5m,Red,Each,Each,NA,1.5m,14,1,0,14.0,240.0,358.8,10.0
45,45,Bubblewrap dispenser (Blue) 1.5m,Blue,Each,Each,NA,1.5m,14,1,0,14.0,240.0,358.8,10.0
46,46,Bubblewrap dispenser (Black) 1.5m,Black,Each,Each,NA,1.5m,14,1,0,14.0,240.0,358.8,10.0
47,47,32 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,NA,50m,14,10,0,14.0,105.0,156.98,10.0
48,48,32 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,NA,20m,14,10,0,14.0,48.0,71.76,6.0
49,49,32 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,NA,10m,14,10,0,14.0,32.0,47.84,5.0
50,50,20 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,NA,50m,14,10,0,14.0,102.0,152.49,10.0
51,51,20 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,NA,20m,14,10,0,14.0,45.0,67.28,6.0
52,52,20 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,NA,10m,14,10,0,14.0,29.0,43.36,5.0
53,53,10 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,NA,50m,14,10,0,14.0,99.0,148.01,10.0
54,54,10 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,NA,20m,14,10,0,14.0,42.0,62.79,6.0
55,55,10 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,NA,10m,14,10,0,14.0,26.0,38.87,5.0
56,56,32 mm Double sided bubble wrap 50m,NA,Each,Each,NA,50m,14,10,0,14.0,112.0,167.44,10.0
57,57,32 mm Double sided bubble wrap 20m,NA,Each,Each,NA,20m,14,10,0,14.0,37.0,55.32,6.0
58,58,32 mm Double sided bubble wrap 10m,NA,Each,Each,NA,10m,14,10,0,14.0,22.0,32.89,5.0
59,59,20 mm Double sided bubble wrap 50m,NA,Each,Each,NA,50m,14,10,0,14.0,108.0,161.46,10.0
60,60,20 mm Double sided bubble wrap 20m,NA,Each,Each,NA,20m,14,10,0,14.0,33.0,49.34,6.0
61,61,20 mm Double sided bubble wrap 10m,NA,Each,Each,NA,10m,14,10,0,14.0,18.0,26.91,5.0
62,62,10 mm Double sided bubble wrap 50m,NA,Each,Each,NA,50m,14,10,0,14.0,105.0,156.98,10.0
63,63,10 mm Double sided bubble wrap 20m,NA,Each,Each,NA,20m,14,10,0,14.0,30.0,44.85,6.0
64,64,10 mm Double sided bubble wrap 10m,NA,Each,Each,NA,10m,14,10,0,14.0,15.0,22.43,5.0
65,65,Large sized bubblewrap roll 50m,NA,Each,Each,NA,50m,14,10,0,14.0,24.0,35.88,10.0
66,66,Medium sized bubblewrap roll 20m,NA,Each,Each,NA,20m,14,10,0,14.0,20.0,29.9,6.0
67,67,Small sized bubblewrap roll 10m,NA,Each,Each,NA,10m,14,10,0,14.0,4.5,6.73,5.0
68,68,Pack of 12 action figures (female),NA,Packet,Packet,NA,NA,2,1,0,2.0,16.0,23.92,0.25
69,69,Pack of 12 action figures (male),NA,Packet,Packet,NA,NA,2,1,0,2.0,16.0,23.92,0.25
70,70,Pack of 12 action figures (variety),NA,Packet,Packet,NA,NA,2,1,0,2.0,16.0,23.92,0.25
71,71,Halloween skull mask (Gray) XL,Gray,Each,Carton,NA,XL,12,12,0,12.0,18.0,26.91,0.3
72,72,Halloween skull mask (Gray) L,Gray,Each,Carton,NA,L,12,12,0,12.0,18.0,26.91,0.3
73,73,Halloween skull mask (Gray) M,Gray,Each,Carton,NA,M,12,12,0,12.0,18.0,26.91,0.3
74,74,Halloween skull mask (Gray) S,Gray,Each,Carton,NA,S,12,12,0,12.0,18.0,26.91,0.3
75,75,Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,NA,XL,12,12,0,12.0,18.0,26.91,0.3
76,76,Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,NA,L,12,12,0,12.0,18.0,26.91,0.3
77,77,Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,NA,M,12,12,0,12.0,18.0,26.91,0.3
78,78,Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,NA,S,12,12,0,12.0,18.0,26.91,0.3
79,79,Furry animal socks (Pink) XL,NA,Pair,Packet,NA,XL,12,12,0,12.0,5.0,7.48,0.1
80,80,Furry animal socks (Pink) L,NA,Pair,Packet,NA,L,12,12,0,12.0,5.0,7.48,0.1
81,81,Furry animal socks (Pink) M,NA,Pair,Packet,NA,M,12,12,0,12.0,5.0,7.48,0.1
82,82,Furry animal socks (Pink) S,NA,Pair,Packet,NA,S,12,12,0,12.0,5.0,7.48,0.1
83,83,Animal with big feet slippers (Brown) XL,NA,Each,Each,NA,XL,12,1,0,12.0,32.0,47.84,0.4
84,84,Animal with big feet slippers (Brown) L,NA,Each,Each,NA,L,12,1,0,12.0,32.0,47.84,0.35
85,85,Animal with big feet slippers (Brown) M,NA,Each,Each,NA,M,12,1,0,12.0,32.0,47.84,0.35
86,86,Animal with big feet slippers (Brown) S,NA,Each,Each,NA,S,12,1,0,12.0,32.0,47.84,0.35
87,87,Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,NA,XL,12,1,0,12.0,32.0,47.84,0.4
88,88,Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,NA,L,12,1,0,12.0,32.0,47.84,0.35
89,89,Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,NA,M,12,1,0,12.0,32.0,47.84,0.35
90,90,Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,NA,S,12,1,0,12.0,32.0,47.84,0.35
91,91,Plush shark slippers (Gray) XL,Gray,Each,Each,NA,XL,12,1,0,12.0,32.0,47.84,0.4
92,92,Plush shark slippers (Gray) L,Gray,Each,Each,NA,L,12,1,0,12.0,32.0,47.84,0.35
93,93,Plush shark slippers (Gray) M,Gray,Each,Each,NA,M,12,1,0,12.0,32.0,47.84,0.35
94,94,Plush shark slippers (Gray) S,Gray,Each,Each,NA,S,12,1,0,12.0,32.0,47.84,0.35
95,95,Ogre battery-powered slippers (Green) XL,NA,Each,Each,NA,XL,12,1,0,12.0,32.0,47.84,0.4
96,96,Ogre battery-powered slippers (Green) L,NA,Each,Each,NA,L,12,1,0,12.0,32.0,47.84,0.35
97,97,Ogre battery-powered slippers (Green) M,NA,Each,Each,NA,M,12,1,0,12.0,32.0,47.84,0.35
98,98,Ogre battery-powered slippers (Green) S,NA,Each,Each,NA,S,12,1,0,12.0,32.0,47.84,0.35
99,99,Dinosaur battery-powered slippers (Green) XL,NA,Each,Each,NA,XL,12,1,0,12.0,32.0,47.84,0.4
100,100,Dinosaur battery-powered slippers (Green) L,NA,Each,Each,NA,L,12,1,0,12.0,32.0,47.84,0.35
101,101,Dinosaur battery-powered slippers (Green) M,NA,Each,Each,NA,M,12,1,0,12.0,32.0,47.84,0.35
102,102,Dinosaur battery-powered slippers (Green) S,NA,Each,Each,NA,S,12,1,0,12.0,32.0,47.84,0.35
103,103,Superhero action jacket (Blue) 5XL,Blue,Each,Each,NA,5XL,12,1,0,12.0,34.0,50.83,0.4
104,104,Superhero action jacket (Blue) 4XL,Blue,Each,Each,NA,4XL,12,1,0,12.0,34.0,50.83,0.4
105,105,Superhero action jacket (Blue) 3XL,Blue,Each,Each,NA,3XL,12,1,0,12.0,34.0,50.83,0.4
106,106,Superhero action jacket (Blue) XXL,Blue,Each,Each,NA,XXL,12,1,0,12.0,30.0,44.85,0.35
107,107,Superhero action jacket (Blue) XL,Blue,Each,Each,NA,XL,12,1,0,12.0,30.0,44.85,0.35
108,108,Superhero action jacket (Blue) L,Blue,Each,Each,NA,L,12,1,0,12.0,30.0,44.85,0.35
109,109,Superhero action jacket (Blue) M,Blue,Each,Each,NA,M,12,1,0,12.0,30.0,44.85,0.35
110,110,Superhero action jacket (Blue) S,Blue,Each,Each,NA,S,12,1,0,12.0,25.0,37.38,0.3
111,111,Superhero action jacket (Blue) XS,Blue,Each,Each,NA,XS,12,1,0,12.0,25.0,37.38,0.3
112,112,Superhero action jacket (Blue) XXS,Blue,Each,Each,NA,XXS,12,1,0,12.0,25.0,37.38,0.3
113,113,Superhero action jacket (Blue) 3XS,Blue,Each,Each,NA,3XS,12,1,0,12.0,25.0,37.38,0.3
114,114,Alien officer hoodie (Black) 5XL,Black,Each,Each,NA,5XL,12,1,0,12.0,35.0,52.33,0.4
115,115,Alien officer hoodie (Black) 4XL,Black,Each,Each,NA,4XL,12,1,0,12.0,35.0,52.33,0.4
116,116,Alien officer hoodie (Black) 3XL,Black,Each,Each,NA,3XL,12,1,0,12.0,35.0,52.33,0.4
117,117,Alien officer hoodie (Black) XXL,Black,Each,Each,NA,XXL,12,1,0,12.0,35.0,52.33,0.4
118,118,Alien officer hoodie (Black) XL,Black,Each,Each,NA,XL,12,1,0,12.0,35.0,52.33,0.4
119,119,The Gu red shirt XML tag t-shirt (Black) 7XL,Black,Each,Carton,NA,7XL,7,12,0,7.0,18.0,26.91,0.45
120,120,The Gu red shirt XML tag t-shirt (Black) 6XL,Black,Each,Carton,NA,6XL,7,12,0,7.0,18.0,26.91,0.4
121,121,The Gu red shirt XML tag t-shirt (Black) 5XL,Black,Each,Carton,NA,5XL,7,12,0,7.0,18.0,26.91,0.4
122,122,The Gu red shirt XML tag t-shirt (Black) 4XL,Black,Each,Carton,NA,4XL,7,12,0,7.0,18.0,26.91,0.4
123,123,The Gu red shirt XML tag t-shirt (Black) 3XL,Black,Each,Carton,NA,3XL,7,12,0,7.0,18.0,26.91,0.4
124,124,The Gu red shirt XML tag t-shirt (Black) XXL,Black,Each,Carton,NA,XXL,7,12,0,7.0,18.0,26.91,0.4
125,125,The Gu red shirt XML tag t-shirt (Black) XL,Black,Each,Carton,NA,XL,7,12,0,7.0,18.0,26.91,0.35
126,126,The Gu red shirt XML tag t-shirt (Black) L,Black,Each,Carton,NA,L,7,12,0,7.0,18.0,26.91,0.35
127,127,The Gu red shirt XML tag t-shirt (Black) M,Black,Each,Carton,NA,M,7,12,0,7.0,18.0,26.91,0.35
128,128,The Gu red shirt XML tag t-shirt (Black) S,Black,Each,Carton,NA,S,7,12,0,7.0,18.0,26.91,0.3
129,129,The Gu red shirt XML tag t-shirt (Black) XS,Black,Each,Carton,NA,XS,7,12,0,7.0,18.0,26.91,0.25
130,130,The Gu red shirt XML tag t-shirt (Black) XXS,Black,Each,Carton,NA,XXS,7,12,0,7.0,18.0,26.91,0.25
131,131,The Gu red shirt XML tag t-shirt (Black) 3XS,Black,Each,Carton,NA,3XS,7,12,0,7.0,18.0,26.91,0.25
132,132,The Gu red shirt XML tag t-shirt (White) 7XL,White,Each,Carton,NA,7XL,7,12,0,7.0,18.0,26.91,0.45
133,133,The Gu red shirt XML tag t-shirt (White) 6XL,White,Each,Carton,NA,6XL,7,12,0,7.0,18.0,26.91,0.4
134,134,The Gu red shirt XML tag t-shirt (White) 5XL,White,Each,Carton,NA,5XL,7,12,0,7.0,18.0,26.91,0.4
135,135,The Gu red shirt XML tag t-shirt (White) 4XL,White,Each,Carton,NA,4XL,7,12,0,7.0,18.0,26.91,0.4
136,136,The Gu red shirt XML tag t-shirt (White) 3XL,White,Each,Carton,NA,3XL,7,12,0,7.0,18.0,26.91,0.4
137,137,The Gu red shirt XML tag t-shirt (White) XXL,White,Each,Carton,NA,XXL,7,12,0,7.0,18.0,26.91,0.4
138,138,The Gu red shirt XML tag t-shirt (White) XL,White,Each,Carton,NA,XL,7,12,0,7.0,18.0,26.91,0.35
139,139,The Gu red shirt XML tag t-shirt (White) L,White,Each,Carton,NA,L,7,12,0,7.0,18.0,26.91,0.35
140,140,The Gu red shirt XML tag t-shirt (White) M,White,Each,Carton,NA,M,7,12,0,7.0,18.0,26.91,0.35
141,141,The Gu red shirt XML tag t-shirt (White) S,White,Each,Carton,NA,S,7,12,0,7.0,18.0,26.91,0.3
142,142,The Gu red shirt XML tag t-shirt (White) XS,White,Each,Carton,NA,XS,7,12,0,7.0,18.0,26.91,0.25
143,143,The Gu red shirt XML tag t-shirt (White) XXS,White,Each,Carton,NA,XXS,7,12,0,7.0,18.0,26.91,0.25
144,144,The Gu red shirt XML tag t-shirt (White) 3XS,White,Each,Carton,NA,3XS,7,12,0,7.0,18.0,26.91,0.25
145,145,Ride on big wheel monster truck (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,0,14.0,345.0,515.78,21.0
146,146,Ride on vintage American toy coupe (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,0,14.0,285.0,426.08,18.0
147,147,Ride on vintage American toy coupe (Red) 1/12 scale,Red,Each,Each,Northwind,1/12 scale,14,1,0,14.0,285.0,426.08,18.0
148,148,Ride on toy sedan car (Pink) 1/12 scale,NA,Each,Each,Northwind,1/12 scale,14,1,0,14.0,230.0,343.85,15.0
149,149,Ride on toy sedan car (Yellow) 1/12 scale,Yellow,Each,Each,Northwind,1/12 scale,14,1,0,14.0,230.0,343.85,15.0
150,150,Ride on toy sedan car (Green) 1/12 scale,NA,Each,Each,Northwind,1/12 scale,14,1,0,14.0,230.0,343.85,15.0
151,151,Ride on toy sedan car (Blue) 1/12 scale,Blue,Each,Each,Northwind,1/12 scale,14,1,0,14.0,230.0,343.85,15.0
152,152,Ride on toy sedan car (Red) 1/12 scale,Red,Each,Each,Northwind,1/12 scale,14,1,0,14.0,230.0,343.85,15.0
153,153,Ride on toy sedan car (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,0,14.0,230.0,343.85,15.0
154,154,RC big wheel monster truck with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,14.0,45.0,67.28,1.8
155,155,RC vintage American toy coupe with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,14.0,30.0,44.85,1.7
156,156,RC vintage American toy coupe with remote control (Red) 1/50 scale,Red,Each,Each,Northwind,1/50 scale,14,1,0,14.0,30.0,44.85,1.7
157,157,RC toy sedan car with remote control (Pink) 1/50 scale,NA,Each,Each,Northwind,1/50 scale,14,1,0,14.0,25.0,37.38,1.5
158,158,RC toy sedan car with remote control (Yellow) 1/50 scale,Yellow,Each,Each,Northwind,1/50 scale,14,1,0,14.0,25.0,37.38,1.5
159,159,RC toy sedan car with remote control (Green) 1/50 scale,NA,Each,Each,Northwind,1/50 scale,14,1,0,14.0,25.0,37.38,1.5
160,160,RC toy sedan car with remote control (Blue) 1/50 scale,Blue,Each,Each,Northwind,1/50 scale,14,1,0,14.0,25.0,37.38,1.5
161,161,RC toy sedan car with remote control (Red) 1/50 scale,Red,Each,Each,Northwind,1/50 scale,14,1,0,14.0,25.0,37.38,1.5
162,162,RC toy sedan car with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,14.0,25.0,37.38,1.5
163,163,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,NA,NA,12,1,0,12.0,13.0,19.44,0.15
164,164,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,NA,NA,12,1,0,12.0,13.0,19.44,0.15
165,165,IT joke mug - that behavior is by design (Black),Black,Each,Each,NA,NA,12,1,0,12.0,13.0,19.44,0.15
166,166,IT joke mug - that behavior is by design (White),White,Each,Each,NA,NA,12,1,0,12.0,13.0,19.44,0.15
167,167,IT joke mug - keyboard not found  press F1 to continue (Black),Black,Each,Each,NA,NA,12,1,0,12.0,13.0,19.44,0.15
168,168,IT joke mug - keyboard not found  press F1 to continue (White),White,Each,Each,NA,NA,12,1,0,12.0,13.0,19.44,0.15
169,169,Developer joke mug - old C developers never die (Black),Black,Each,Each,NA,NA,12,1,0,12.0,13.0,19.44,0.15
